# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.127774        0.00851812    
      3.50000           4.00000          0.148296        0.00955167    
      4.00000           4.50000          0.104835         0.0131643    
      4.50000           5.00000          0.105929         0.0138612    
      5.00000           5.40000          0.148864         0.0168432    
      5.40000           5.80000          0.129456         0.0223662    
      5.80000           6.20000          0.161565         0.0221063    
      6.20000           6.60000          0.131658         0.0250044    
      6.60000           7.00000          0.132564         0.0277934    
      7.00000           8.00000         0.0593382         0.0341843    
      8.00000           10.0000         0.0805100         0.0350016    
