# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.107331        0.00568000    
      3.50000           4.00000         0.0980460        0.00588714    
      4.00000           4.50000          0.108215        0.00671247    
      4.50000           5.00000          0.107553        0.00751666    
      5.00000           5.40000         0.0856481        0.00872496    
      5.40000           5.80000          0.109888        0.00882433    
      5.80000           6.20000          0.104147         0.0100589    
      6.20000           6.60000         0.0738688         0.0101023    
      6.60000           7.00000         0.0914478         0.0122362    
      7.00000           8.00000         0.0884082        0.00935153    
      8.00000           10.0000         0.0786271        0.00898087    
