# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.105894        0.00413898    
      3.50000           4.00000          0.105071        0.00483252    
      4.00000           4.50000          0.105768        0.00576448    
      4.50000           5.00000         0.0982907        0.00667759    
      5.00000           5.40000         0.0935189        0.00787976    
      5.40000           5.80000         0.0765232        0.00980229    
      5.80000           6.20000         0.0842578         0.0108047    
      6.20000           6.60000         0.0919346         0.0107077    
      6.60000           7.00000         0.0719622         0.0146632    
      7.00000           8.00000         0.0930754        0.00943996    
      8.00000           10.0000          0.112177        0.00922759    
