# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.154290         0.0144832    
      3.50000           4.00000          0.128889         0.0175204    
      4.00000           4.50000          0.168582         0.0178374    
      4.50000           5.00000          0.167645         0.0203859    
      5.00000           5.40000          0.117304         0.0270247    
      5.40000           5.80000          0.104887         0.0269095    
      5.80000           6.20000          0.148731         0.0287984    
      6.20000           6.60000          0.166568         0.0286887    
      6.60000           7.00000          0.141961         0.0379622    
      7.00000           8.00000          0.137430         0.0307232    
      8.00000           10.0000          0.154879         0.0309416    
