# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.247046         0.0195621    
      3.50000           4.00000          0.256657         0.0149754    
      4.00000           4.50000          0.232064         0.0140225    
      4.50000           5.00000          0.198024         0.0120856    
      5.00000           5.40000          0.184979         0.0137299    
      5.40000           5.80000          0.178046         0.0129756    
      5.80000           6.20000          0.177077         0.0126901    
      6.20000           6.60000          0.134314         0.0124627    
      6.60000           7.00000          0.164617         0.0167885    
      7.00000           8.00000          0.158191         0.0124636    
      8.00000           10.0000          0.127702         0.0127853    
