# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.226547         0.0122550    
      3.50000           4.00000          0.210902         0.0138077    
      4.00000           4.50000          0.176763         0.0147165    
      4.50000           5.00000          0.162797         0.0163622    
      5.00000           5.40000          0.177118         0.0185253    
      5.40000           5.80000          0.138221         0.0178715    
      5.80000           6.20000          0.131674         0.0207669    
      6.20000           6.60000          0.128552         0.0213529    
      6.60000           7.00000          0.141564         0.0250323    
      7.00000           8.00000          0.125905         0.0213265    
      8.00000           10.0000          0.127067         0.0221801    
