# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0638871        0.00836582    
      3.50000           4.00000         0.0870950        0.00772237    
      4.00000           4.50000         0.0718461         0.0100039    
      4.50000           5.00000         0.0822099         0.0111833    
      5.00000           5.40000         0.0813420         0.0141783    
      5.40000           5.80000         0.0343675         0.0267017    
      5.80000           6.20000         0.0946277         0.0160862    
      6.20000           6.60000         0.0149211         0.0411522    
      6.60000           7.00000         0.0247627         0.0398908    
      7.00000           8.00000         0.0803487         0.0154016    
      8.00000           10.0000         0.0561973         0.0214328    
