# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.128516        0.00587135    
      3.50000           4.00000          0.134649        0.00603409    
      4.00000           4.50000          0.136134        0.00689458    
      4.50000           5.00000          0.114464        0.00779687    
      5.00000           5.40000          0.134161        0.00913074    
      5.40000           5.80000          0.116595         0.0102526    
      5.80000           6.20000          0.119401         0.0105359    
      6.20000           6.60000          0.113818         0.0112420    
      6.60000           7.00000          0.116307         0.0124271    
      7.00000           8.00000          0.117981        0.00966031    
      8.00000           10.0000          0.124766         0.0105444    
