# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0871745        0.00516533    
      3.50000           4.00000         0.0776959        0.00527447    
      4.00000           4.50000         0.0660930        0.00615128    
      4.50000           5.00000         0.0753904        0.00634384    
      5.00000           5.40000         0.0853368        0.00795898    
      5.40000           5.80000         0.0630225        0.00835103    
      5.80000           6.20000         0.0606511        0.00938678    
      6.20000           6.60000         0.0704800        0.00904481    
      6.60000           7.00000         0.0680167         0.0104811    
      7.00000           8.00000         0.0787045        0.00783224    
      8.00000           10.0000         0.0771793        0.00829376    
