# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.160101        0.00565162    
      3.50000           4.00000          0.155755        0.00679293    
      4.00000           4.50000          0.148989        0.00735575    
      4.50000           5.00000          0.139977        0.00779057    
      5.00000           5.40000          0.143630        0.00976376    
      5.40000           5.80000          0.130880         0.0100211    
      5.80000           6.20000          0.116620         0.0102962    
      6.20000           6.60000          0.100731         0.0109656    
      6.60000           7.00000          0.114934         0.0120595    
      7.00000           8.00000          0.149261        0.00949796    
      8.00000           10.0000          0.117681         0.0100750    
