# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0661838         0.0100070    
      3.50000           4.00000         0.0651803         0.0105210    
      4.00000           4.50000         0.0531890         0.0104919    
      4.50000           5.00000         0.0704006         0.0114518    
      5.00000           5.40000         0.0585585         0.0143280    
      5.40000           5.80000         0.0578571         0.0142636    
      5.80000           6.20000         0.0599085         0.0150503    
      6.20000           6.60000         0.0349957         0.0171701    
      6.60000           7.00000         0.0350256         0.0199137    
      7.00000           8.00000         0.0198664         0.0172632    
      8.00000           10.0000         0.0270286         0.0154982    
