# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.109199        0.00761183    
      3.50000           4.00000          0.127422        0.00812511    
      4.00000           4.50000          0.122742        0.00934780    
      4.50000           5.00000          0.116725         0.0115495    
      5.00000           5.40000          0.114937         0.0151208    
      5.40000           5.80000         0.0993955         0.0175785    
      5.80000           6.20000         0.0950244         0.0208971    
      6.20000           6.60000         0.0886152         0.0219793    
      6.60000           7.00000         0.0948911         0.0247824    
      7.00000           8.00000          0.127677         0.0153595    
      8.00000           10.0000          0.130562         0.0182418    
