# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.237193         0.0139627    
      3.50000           4.00000          0.238622         0.0167077    
      4.00000           4.50000          0.229900         0.0191485    
      4.50000           5.00000          0.226988         0.0232600    
      5.00000           5.40000          0.191316         0.0254472    
      5.40000           5.80000          0.103376         0.0421418    
      5.80000           6.20000          0.143880         0.0329829    
      6.20000           6.60000          0.125699         0.0379949    
      6.60000           7.00000          0.106963         0.0535522    
      7.00000           8.00000          0.189345         0.0350041    
      8.00000           10.0000          0.199074         0.0384043    
