# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.166830         0.0147995    
      3.50000           4.00000          0.177721         0.0158912    
      4.00000           4.50000          0.197990         0.0178284    
      4.50000           5.00000          0.172749         0.0194684    
      5.00000           5.40000          0.143167         0.0273447    
      5.40000           5.80000          0.129681         0.0295938    
      5.80000           6.20000          0.129603         0.0325023    
      6.20000           6.60000         0.0775095         0.0416988    
      6.60000           7.00000         0.0561811         0.0722263    
      7.00000           8.00000          0.152710         0.0332066    
      8.00000           10.0000         0.0488215         0.0710355    
