# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.204288         0.0108241    
      3.50000           4.00000          0.216758         0.0101636    
      4.00000           4.50000          0.160949         0.0115607    
      4.50000           5.00000          0.162189         0.0122220    
      5.00000           5.40000          0.118564         0.0133950    
      5.40000           5.80000          0.110811         0.0135607    
      5.80000           6.20000          0.146245         0.0147270    
      6.20000           6.60000          0.103019         0.0139403    
      6.60000           7.00000          0.101999         0.0167038    
      7.00000           8.00000          0.124152         0.0138264    
      8.00000           10.0000         0.0517248         0.0128408    
