# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0833955        0.00747618    
      3.50000           4.00000         0.0873970        0.00772211    
      4.00000           4.50000         0.0892914        0.00809682    
      4.50000           5.00000         0.0889717        0.00942594    
      5.00000           5.40000         0.0767294         0.0115469    
      5.40000           5.80000         0.0934828         0.0127209    
      5.80000           6.20000         0.0250265         0.0147944    
      6.20000           6.60000         0.0361714         0.0122560    
      6.60000           7.00000         0.0819764         0.0140491    
      7.00000           8.00000         0.0877602         0.0128930    
      8.00000           10.0000         0.0343598         0.0145613    
