# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0943938        0.00266406    
      3.50000           4.00000         0.0800637        0.00292549    
      4.00000           4.50000         0.0852883        0.00324508    
      4.50000           5.00000         0.0851823        0.00368645    
      5.00000           5.40000         0.0827184        0.00414703    
      5.40000           5.80000         0.0744955        0.00463530    
      5.80000           6.20000         0.0769393        0.00490999    
      6.20000           6.60000         0.0673778        0.00491275    
      6.60000           7.00000         0.0623632        0.00554358    
      7.00000           8.00000         0.0707526        0.00447316    
      8.00000           10.0000         0.0875926        0.00478744    
