# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.249972         0.0151234    
      3.50000           4.00000          0.252985         0.0186626    
      4.00000           4.50000          0.233957         0.0186938    
      4.50000           5.00000          0.179977         0.0232409    
      5.00000           5.40000          0.220044         0.0243731    
      5.40000           5.80000          0.208530         0.0318910    
      5.80000           6.20000          0.187459         0.0335166    
      6.20000           6.60000          0.135386         0.0376043    
      6.60000           7.00000          0.287788         0.0341136    
      7.00000           8.00000          0.190817         0.0344600    
      8.00000           10.0000          0.244448         0.0334660    
