# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0578097        0.00897352    
      3.50000           4.00000         0.0679085        0.00935414    
      4.00000           4.50000         0.0347474         0.0144963    
      4.50000           5.00000         0.0275435         0.0212874    
      5.00000           5.40000         0.0239621         0.0298939    
      5.40000           5.80000         0.0268734         0.0312926    
      5.80000           6.20000         0.0754870         0.0188140    
      6.20000           6.60000         0.0467712         0.0273987    
      6.60000           7.00000         0.0385638         0.0342805    
      7.00000           8.00000         0.0815119         0.0158732    
      8.00000           10.0000         0.0762850         0.0189120    
