# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.271602         0.0292811    
      3.50000           4.00000          0.256443         0.0259022    
      4.00000           4.50000          0.244545         0.0258580    
      4.50000           5.00000          0.212474         0.0303813    
      5.00000           5.40000          0.189304         0.0398080    
      5.40000           5.80000         0.0979561         0.0589113    
      5.80000           6.20000          0.150185         0.0489258    
      6.20000           6.60000         0.0726183         0.0563584    
      6.60000           7.00000          0.227396         0.0537347    
      7.00000           8.00000          0.235755         0.0384098    
      8.00000           10.0000          0.114011         0.0717076    
