# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.323520         0.0156453    
      3.50000           4.00000          0.317180         0.0170418    
      4.00000           4.50000          0.294032         0.0162163    
      4.50000           5.00000          0.300731         0.0176244    
      5.00000           5.40000          0.227946         0.0197271    
      5.40000           5.80000          0.265939         0.0195457    
      5.80000           6.20000          0.228880         0.0212381    
      6.20000           6.60000          0.183487         0.0218465    
      6.60000           7.00000          0.183055         0.0245693    
      7.00000           8.00000          0.203691         0.0190536    
      8.00000           10.0000          0.244764         0.0183504    
