# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.245318         0.0184547    
      3.50000           4.00000          0.277765         0.0193868    
      4.00000           4.50000          0.222363         0.0218811    
      4.50000           5.00000          0.208964         0.0254262    
      5.00000           5.40000          0.204757         0.0307379    
      5.40000           5.80000          0.196518         0.0336659    
      5.80000           6.20000          0.215094         0.0369840    
      6.20000           6.60000          0.173894         0.0343753    
      6.60000           7.00000          0.141655         0.0512805    
      7.00000           8.00000         0.0373539         0.0708909    
      8.00000           10.0000          0.219792         0.0341747    
