# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.112867        0.00801739    
      3.50000           4.00000          0.121940        0.00951753    
      4.00000           4.50000          0.104340         0.0114184    
      4.50000           5.00000          0.117567         0.0128099    
      5.00000           5.40000          0.129866         0.0168498    
      5.40000           5.80000          0.131618         0.0194824    
      5.80000           6.20000          0.114978         0.0245329    
      6.20000           6.60000         0.0819335         0.0298916    
      6.60000           7.00000         0.0787414         0.0373527    
      7.00000           8.00000          0.127684         0.0190660    
      8.00000           10.0000          0.101369         0.0300229    
