# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.158964        0.00798822    
      3.50000           4.00000          0.149763        0.00940864    
      4.00000           4.50000          0.134215         0.0105840    
      4.50000           5.00000          0.156324         0.0128607    
      5.00000           5.40000          0.157375         0.0154800    
      5.40000           5.80000          0.171480         0.0155931    
      5.80000           6.20000          0.167052         0.0172233    
      6.20000           6.60000          0.220990         0.0207879    
      6.60000           7.00000          0.159273         0.0240133    
      7.00000           8.00000          0.175215         0.0178207    
      8.00000           10.0000          0.207287         0.0216830    
