# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.140096         0.0116253    
      3.50000           4.00000          0.125668         0.0129495    
      4.00000           4.50000          0.133880         0.0156967    
      4.50000           5.00000          0.127031         0.0163322    
      5.00000           5.40000          0.125753         0.0203248    
      5.40000           5.80000          0.127840         0.0229171    
      5.80000           6.20000         0.0899443         0.0242100    
      6.20000           6.60000         0.0971067         0.0239698    
      6.60000           7.00000          0.102154         0.0273697    
      7.00000           8.00000          0.124842         0.0241157    
      8.00000           10.0000          0.105402         0.0268459    
