# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.143340        0.00720986    
      3.50000           4.00000          0.134129        0.00756225    
      4.00000           4.50000          0.130103        0.00816466    
      4.50000           5.00000          0.110275        0.00866286    
      5.00000           5.40000          0.131661        0.00941749    
      5.40000           5.80000          0.108722         0.0114025    
      5.80000           6.20000          0.108979         0.0112044    
      6.20000           6.60000         0.0984521         0.0144131    
      6.60000           7.00000         0.0335321         0.0357060    
      7.00000           8.00000          0.131228         0.0111122    
      8.00000           10.0000          0.121499         0.0123281    
