# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.308931        0.00660234    
      3.50000           4.00000          0.306660        0.00750787    
      4.00000           4.50000          0.284063        0.00839716    
      4.50000           5.00000          0.281599        0.00943148    
      5.00000           5.40000          0.267885         0.0114748    
      5.40000           5.80000          0.269525         0.0126160    
      5.80000           6.20000          0.272057         0.0131074    
      6.20000           6.60000          0.240770         0.0131897    
      6.60000           7.00000          0.233496         0.0155433    
      7.00000           8.00000          0.267709         0.0128388    
      8.00000           10.0000          0.273957         0.0142416    
