# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.319834        0.00703266    
      3.50000           4.00000          0.298995        0.00753054    
      4.00000           4.50000          0.277054        0.00864329    
      4.50000           5.00000          0.247403        0.00942939    
      5.00000           5.40000          0.260145         0.0114242    
      5.40000           5.80000          0.238358         0.0116447    
      5.80000           6.20000          0.239805         0.0118315    
      6.20000           6.60000          0.208070         0.0126619    
      6.60000           7.00000          0.245704         0.0148809    
      7.00000           8.00000          0.213944         0.0123351    
      8.00000           10.0000          0.209751         0.0131395    
