# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.222570         0.0122447    
      3.50000           4.00000          0.142319         0.0123229    
      4.00000           4.50000          0.153017         0.0109806    
      4.50000           5.00000          0.132671         0.0104695    
      5.00000           5.40000          0.133542         0.0135037    
      5.40000           5.80000          0.138724         0.0126387    
      5.80000           6.20000          0.125259         0.0144004    
      6.20000           6.60000          0.105858         0.0145181    
      6.60000           7.00000          0.121019         0.0233893    
      7.00000           8.00000          0.113830         0.0166688    
      8.00000           10.0000          0.133408         0.0169023    
