# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.270843         0.0186200    
      3.50000           4.00000          0.217186         0.0218928    
      4.00000           4.50000          0.210327         0.0207228    
      4.50000           5.00000          0.206187         0.0232649    
      5.00000           5.40000          0.180965         0.0283911    
      5.40000           5.80000          0.201100         0.0269629    
      5.80000           6.20000          0.239860         0.0281548    
      6.20000           6.60000          0.222385         0.0296889    
      6.60000           7.00000          0.132306         0.0446666    
      7.00000           8.00000          0.220709         0.0250344    
      8.00000           10.0000          0.165104         0.0267194    
