# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.413897         0.0157591    
      3.50000           4.00000          0.396542         0.0174915    
      4.00000           4.50000          0.338237         0.0176452    
      4.50000           5.00000          0.355794         0.0210707    
      5.00000           5.40000          0.343937         0.0243657    
      5.40000           5.80000          0.357271         0.0251127    
      5.80000           6.20000          0.343014         0.0240747    
      6.20000           6.60000          0.265469         0.0234997    
      6.60000           7.00000          0.233161         0.0297365    
      7.00000           8.00000          0.379438         0.0287451    
      8.00000           10.0000          0.359928         0.0352411    
