# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0939485        0.00674311    
      3.50000           4.00000         0.0993822        0.00798201    
      4.00000           4.50000         0.0970911        0.00909567    
      4.50000           5.00000         0.0924476        0.00995499    
      5.00000           5.40000         0.0943371         0.0127722    
      5.40000           5.80000         0.0887614         0.0132047    
      5.80000           6.20000         0.0998089         0.0135200    
      6.20000           6.60000         0.0964424         0.0150449    
      6.60000           7.00000         0.0464117         0.0200666    
      7.00000           8.00000         0.0958648         0.0129982    
      8.00000           10.0000          0.117163         0.0137321    
