# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.216455         0.0126032    
      3.50000           4.00000          0.190882         0.0150853    
      4.00000           4.50000          0.195104         0.0157266    
      4.50000           5.00000          0.206264         0.0168053    
      5.00000           5.40000          0.197846         0.0200695    
      5.40000           5.80000          0.188136         0.0235303    
      5.80000           6.20000          0.205346         0.0256449    
      6.20000           6.60000          0.116719         0.0309849    
      6.60000           7.00000         0.0913935         0.0536167    
      7.00000           8.00000          0.171771         0.0294010    
      8.00000           10.0000          0.238036         0.0285640    
