# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.360091         0.0315233    
      3.50000           4.00000          0.281952         0.0326906    
      4.00000           4.50000          0.340992         0.0335995    
      4.50000           5.00000          0.263622         0.0392612    
      5.00000           5.40000          0.280054         0.0378005    
      5.40000           5.80000          0.263381         0.0429572    
      5.80000           6.20000         0.0912207         0.0734165    
      6.20000           6.60000          0.244989         0.0409519    
      6.60000           7.00000          0.234103         0.0571907    
      7.00000           8.00000          0.344767         0.0327072    
      8.00000           10.0000          0.259900         0.0379890    
