# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.128429         0.0230579    
      3.50000           4.00000          0.166197         0.0254877    
      4.00000           4.50000          0.232591         0.0297672    
      4.50000           5.00000          0.176040         0.0282376    
      5.00000           5.40000          0.216041         0.0342389    
      5.40000           5.80000          0.145511         0.0358627    
      5.80000           6.20000          0.134207         0.0395922    
      6.20000           6.60000          0.153946         0.0465034    
      6.60000           7.00000          0.208302         0.0575790    
      7.00000           8.00000          0.362967         0.0526875    
      8.00000           10.0000          0.134415         0.0633373    
