# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.134171        0.00763552    
      3.50000           4.00000          0.159095        0.00819170    
      4.00000           4.50000          0.153458        0.00899325    
      4.50000           5.00000          0.126789         0.0105989    
      5.00000           5.40000          0.116204         0.0142361    
      5.40000           5.80000          0.147421         0.0132213    
      5.80000           6.20000          0.134884         0.0149278    
      6.20000           6.60000         0.0875902         0.0203108    
      6.60000           7.00000          0.100346         0.0206540    
      7.00000           8.00000          0.111233         0.0143811    
      8.00000           10.0000          0.153196         0.0138793    
