# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.152370        0.00769128    
      3.50000           4.00000          0.117910        0.00973996    
      4.00000           4.50000          0.113677         0.0116814    
      4.50000           5.00000          0.132067         0.0107413    
      5.00000           5.40000         0.0959585         0.0165129    
      5.40000           5.80000          0.120745         0.0173929    
      5.80000           6.20000          0.110204         0.0180541    
      6.20000           6.60000         0.0722503         0.0243661    
      6.60000           7.00000         0.0751338         0.0260471    
      7.00000           8.00000         0.0809935         0.0198422    
      8.00000           10.0000          0.127319         0.0180235    
