# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.184154        0.00803770    
      3.50000           4.00000          0.163535        0.00924438    
      4.00000           4.50000          0.143914         0.0106020    
      4.50000           5.00000          0.164450         0.0123703    
      5.00000           5.40000          0.168893         0.0142039    
      5.40000           5.80000          0.156068         0.0154425    
      5.80000           6.20000          0.149719         0.0179318    
      6.20000           6.60000          0.123856         0.0172281    
      6.60000           7.00000         0.0612729         0.0220604    
      7.00000           8.00000          0.148121         0.0164177    
      8.00000           10.0000          0.145980         0.0183311    
