# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.266658        0.00856555    
      3.50000           4.00000          0.232343         0.0104413    
      4.00000           4.50000          0.224777         0.0113383    
      4.50000           5.00000          0.213361         0.0124303    
      5.00000           5.40000          0.213956         0.0157291    
      5.40000           5.80000          0.225618         0.0163365    
      5.80000           6.20000          0.214187         0.0183782    
      6.20000           6.60000          0.156784         0.0179033    
      6.60000           7.00000          0.172432         0.0221763    
      7.00000           8.00000          0.201232         0.0170678    
      8.00000           10.0000          0.184111         0.0183489    
