# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0497681        0.00431067    
      3.50000           4.00000         0.0613661        0.00453411    
      4.00000           4.50000         0.0616421        0.00487267    
      4.50000           5.00000         0.0647231        0.00538089    
      5.00000           5.40000         0.0830576        0.00579823    
      5.40000           5.80000         0.0620810        0.00720789    
      5.80000           6.20000         0.0678864        0.00771364    
      6.20000           6.60000         0.0182909         0.0156953    
      6.60000           7.00000         0.0654061        0.00922825    
      7.00000           8.00000         0.0682245        0.00690615    
      8.00000           10.0000         0.0618047        0.00761975    
