# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.180340         0.0221565    
      3.50000           4.00000          0.177664         0.0230136    
      4.00000           4.50000          0.176694         0.0236153    
      4.50000           5.00000          0.153115         0.0248482    
      5.00000           5.40000          0.153762         0.0289886    
      5.40000           5.80000          0.137352         0.0323775    
      5.80000           6.20000          0.181438         0.0313688    
      6.20000           6.60000         0.0872461         0.0326006    
      6.60000           7.00000         0.0552088         0.0522951    
      7.00000           8.00000          0.114844         0.0312785    
      8.00000           10.0000          0.206774         0.0340722    
