# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0680434         0.0126846    
      3.50000           4.00000         0.0676012         0.0130343    
      4.00000           4.50000         0.0637991         0.0149777    
      4.50000           5.00000         0.0850005         0.0155875    
      5.00000           5.40000         0.0122030         0.0321024    
      5.40000           5.80000          0.123716         0.0190126    
      5.80000           6.20000         0.0513756         0.0253590    
      6.20000           6.60000         0.0513568         0.0208484    
      6.60000           7.00000         0.0802808         0.0273622    
      7.00000           8.00000         0.0487381         0.0193282    
      8.00000           10.0000         0.0723095         0.0217238    
