# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.150409        0.00714821    
      3.50000           4.00000          0.150378        0.00828425    
      4.00000           4.50000          0.139361        0.00960253    
      4.50000           5.00000          0.149247         0.0109087    
      5.00000           5.40000          0.183399         0.0132638    
      5.40000           5.80000          0.130763         0.0166172    
      5.80000           6.20000          0.146626         0.0167900    
      6.20000           6.60000          0.130366         0.0177029    
      6.60000           7.00000          0.116069         0.0236109    
      7.00000           8.00000          0.153350         0.0160833    
      8.00000           10.0000          0.155768         0.0183933    
