# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0781968        0.00604958    
      3.50000           4.00000         0.0826818        0.00678620    
      4.00000           4.50000         0.0864316        0.00784480    
      4.50000           5.00000         0.0988068        0.00804452    
      5.00000           5.40000         0.0780893         0.0114634    
      5.40000           5.80000         0.0817732         0.0130159    
      5.80000           6.20000          0.100357         0.0129143    
      6.20000           6.60000         0.0504247         0.0179093    
      6.60000           7.00000         0.0665146         0.0207676    
      7.00000           8.00000         0.0909555         0.0114261    
      8.00000           10.0000         0.0843542         0.0140487    
