# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0655304        0.00735513    
      3.50000           4.00000         0.0799017        0.00824792    
      4.00000           4.50000         0.0683517        0.00995446    
      4.50000           5.00000         0.0572018         0.0109867    
      5.00000           5.40000         0.0419110         0.0186244    
      5.40000           5.80000         0.0488658         0.0182239    
      5.80000           6.20000         0.0714451         0.0153305    
      6.20000           6.60000         0.0760360         0.0138492    
      6.60000           7.00000         0.0673341         0.0227634    
      7.00000           8.00000         0.0508034         0.0173594    
      8.00000           10.0000         0.0767382         0.0137307    
