# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.147919        0.00773175    
      3.50000           4.00000          0.149970        0.00834740    
      4.00000           4.50000          0.143404        0.00945551    
      4.50000           5.00000          0.133008         0.0108384    
      5.00000           5.40000          0.114243         0.0140708    
      5.40000           5.80000          0.174154         0.0129582    
      5.80000           6.20000          0.102592         0.0189895    
      6.20000           6.60000         0.0626691         0.0248509    
      6.60000           7.00000          0.151773         0.0179926    
      7.00000           8.00000          0.121330         0.0155237    
      8.00000           10.0000          0.149244         0.0144667    
