# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.300978         0.0133491    
      3.50000           4.00000          0.285002         0.0161571    
      4.00000           4.50000          0.251163         0.0160261    
      4.50000           5.00000          0.260465         0.0185747    
      5.00000           5.40000          0.215814         0.0199011    
      5.40000           5.80000          0.203539         0.0244420    
      5.80000           6.20000          0.174104         0.0247707    
      6.20000           6.60000          0.154655         0.0247376    
      6.60000           7.00000          0.256116         0.0274825    
      7.00000           8.00000          0.226055         0.0254652    
      8.00000           10.0000          0.189324         0.0261955    
