# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0859274        0.00694405    
      3.50000           4.00000         0.0627395        0.00870046    
      4.00000           4.50000         0.0691983        0.00919523    
      4.50000           5.00000         0.0452073         0.0123879    
      5.00000           5.40000         0.0749675         0.0119194    
      5.40000           5.80000         0.0282749         0.0225242    
      5.80000           6.20000         0.0528787         0.0162485    
      6.20000           6.60000         0.0585949         0.0142146    
      6.60000           7.00000         0.0604001         0.0191714    
      7.00000           8.00000         0.0655398         0.0129287    
      8.00000           10.0000         0.0664898         0.0139667    
