# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.142993        0.00782897    
      3.50000           4.00000          0.151621        0.00908386    
      4.00000           4.50000          0.144134         0.0104287    
      4.50000           5.00000          0.152051         0.0118117    
      5.00000           5.40000          0.165247         0.0144907    
      5.40000           5.80000          0.138322         0.0158959    
      5.80000           6.20000          0.138641         0.0165863    
      6.20000           6.60000          0.114936         0.0186148    
      6.60000           7.00000          0.135601         0.0218202    
      7.00000           8.00000          0.125889         0.0164190    
      8.00000           10.0000          0.106432         0.0189720    
