# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.190290         0.0119390    
      3.50000           4.00000          0.143188         0.0110424    
      4.00000           4.50000          0.175286         0.0153282    
      4.50000           5.00000          0.143219         0.0163180    
      5.00000           5.40000          0.133137         0.0201302    
      5.40000           5.80000          0.125788         0.0214915    
      5.80000           6.20000          0.130916         0.0224476    
      6.20000           6.60000         0.0852959         0.0223432    
      6.60000           7.00000         0.0740373         0.0288325    
      7.00000           8.00000          0.127862         0.0200284    
      8.00000           10.0000          0.176677         0.0228019    
