# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.179409         0.0102078    
      3.50000           4.00000          0.173991         0.0115083    
      4.00000           4.50000          0.165154         0.0143219    
      4.50000           5.00000          0.146843         0.0156664    
      5.00000           5.40000          0.143010         0.0198041    
      5.40000           5.80000          0.173634         0.0201854    
      5.80000           6.20000          0.165675         0.0222589    
      6.20000           6.60000          0.152846         0.0213102    
      6.60000           7.00000         0.0170675         0.0731059    
      7.00000           8.00000          0.112029         0.0227203    
      8.00000           10.0000          0.144051         0.0254016    
