# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.288290         0.0411411    
      3.50000           4.00000          0.248950         0.0409794    
      4.00000           4.50000          0.358433         0.0366574    
      4.50000           5.00000          0.384691         0.0398050    
      5.00000           5.40000          0.163605         0.0519271    
      5.40000           5.80000          0.241266         0.0438509    
      5.80000           6.20000          0.299911         0.0525568    
      6.20000           6.60000          0.206104         0.0389374    
      6.60000           7.00000         0.0893820         0.0748136    
      7.00000           8.00000          0.250128         0.0511400    
      8.00000           10.0000          0.191599         0.0574631    
