# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0681651        0.00683101    
      3.50000           4.00000         0.0614744        0.00722398    
      4.00000           4.50000         0.0689941        0.00731543    
      4.50000           5.00000         0.0556805        0.00918673    
      5.00000           5.40000         0.0424617         0.0109364    
      5.40000           5.80000         0.0411350         0.0120074    
      5.80000           6.20000         0.0404212         0.0119592    
      6.20000           6.60000         0.0369318         0.0115977    
      6.60000           7.00000         0.0121745         0.0201729    
      7.00000           8.00000         0.0451470         0.0110752    
      8.00000           10.0000         0.0504295         0.0112447    
