# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0979857        0.00476773    
      3.50000           4.00000          0.100418        0.00519394    
      4.00000           4.50000          0.103464        0.00588171    
      4.50000           5.00000          0.104793        0.00630726    
      5.00000           5.40000         0.0967539        0.00869640    
      5.40000           5.80000         0.0862874         0.0106286    
      5.80000           6.20000         0.0819086         0.0114317    
      6.20000           6.60000         0.0953753         0.0115579    
      6.60000           7.00000         0.0530639         0.0200763    
      7.00000           8.00000         0.0979987         0.0107496    
      8.00000           10.0000         0.0838210         0.0121022    
