# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0374611        0.00540766    
      3.50000           4.00000         0.0613533        0.00590746    
      4.00000           4.50000         0.0445873        0.00656061    
      4.50000           5.00000         0.0502543        0.00739334    
      5.00000           5.40000         0.0506800        0.00916772    
      5.40000           5.80000         0.0202497         0.0134040    
      5.80000           6.20000         0.0230173         0.0129109    
      6.20000           6.60000         0.0454084         0.0112672    
      6.60000           7.00000         0.0564973         0.0127443    
      7.00000           8.00000         0.0452850         0.0105283    
      8.00000           10.0000         0.0610991        0.00992775    
