# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.148874         0.0154488    
      3.50000           4.00000          0.141234         0.0164629    
      4.00000           4.50000          0.131152         0.0195342    
      4.50000           5.00000          0.116843         0.0228340    
      5.00000           5.40000          0.138325         0.0265244    
      5.40000           5.80000          0.151952         0.0279901    
      5.80000           6.20000         0.0694555         0.0344668    
      6.20000           6.60000         0.0589254         0.0483927    
      6.60000           7.00000          0.176320         0.0413201    
      7.00000           8.00000         0.0990273         0.0366293    
      8.00000           10.0000         0.0995818         0.0376114    
