# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0408685        0.00467083    
      3.50000           4.00000         0.0439647        0.00549234    
      4.00000           4.50000         0.0347025        0.00468224    
      4.50000           5.00000         0.0265295        0.00551917    
      5.00000           5.40000         0.0212372        0.00475683    
      5.40000           5.80000         0.0210221        0.00622632    
      5.80000           6.20000         0.0317998        0.00714822    
      6.20000           6.60000         0.0249844        0.00670644    
      6.60000           7.00000         0.0436614        0.00741857    
      7.00000           8.00000         0.0278497        0.00661347    
      8.00000           10.0000         0.0243448        0.00606266    
