# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.125756        0.00917391    
      3.50000           4.00000          0.129248         0.0111103    
      4.00000           4.50000          0.138109         0.0126524    
      4.50000           5.00000          0.140711         0.0160843    
      5.00000           5.40000          0.149157         0.0201139    
      5.40000           5.80000          0.183232         0.0191159    
      5.80000           6.20000          0.123055         0.0250834    
      6.20000           6.60000          0.129281         0.0322710    
      6.60000           7.00000         0.0472675         0.0634160    
      7.00000           8.00000          0.173674         0.0230580    
      8.00000           10.0000         0.0894241         0.0412501    
