# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.153873         0.0122454    
      3.50000           4.00000          0.156969         0.0132851    
      4.00000           4.50000          0.136409         0.0153589    
      4.50000           5.00000          0.115666         0.0193996    
      5.00000           5.40000         0.0795950         0.0311543    
      5.40000           5.80000         0.0864058         0.0325411    
      5.80000           6.20000          0.138564         0.0274495    
      6.20000           6.60000          0.148597         0.0254125    
      6.60000           7.00000          0.172594         0.0350643    
      7.00000           8.00000          0.146901         0.0268806    
      8.00000           10.0000          0.179666         0.0274779    
