# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.109338        0.00614726    
      3.50000           4.00000         0.0943865        0.00669255    
      4.00000           4.50000          0.109585        0.00702933    
      4.50000           5.00000          0.102211        0.00764938    
      5.00000           5.40000          0.107211        0.00903187    
      5.40000           5.80000          0.105267         0.0100794    
      5.80000           6.20000         0.0778512         0.0102036    
      6.20000           6.60000         0.0771736         0.0102571    
      6.60000           7.00000         0.0675910         0.0127781    
      7.00000           8.00000         0.0904410        0.00911129    
      8.00000           10.0000         0.0930766         0.0102959    
