# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0538331        0.00687593    
      3.50000           4.00000         0.0519741        0.00716905    
      4.00000           4.50000         0.0402701         0.0100246    
      4.50000           5.00000         0.0522589        0.00927355    
      5.00000           5.40000         0.0604743         0.0120418    
      5.40000           5.80000         0.0324297         0.0175722    
      5.80000           6.20000         0.0340548         0.0201134    
      6.20000           6.60000         0.0369058         0.0185940    
      6.60000           7.00000         0.0578761         0.0179343    
      7.00000           8.00000         0.0390101         0.0147175    
      8.00000           10.0000         0.0467421         0.0145178    
