# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0120516        0.00668547    
      3.50000           4.00000         0.0320607        0.00580567    
      4.00000           4.50000         0.0337114        0.00679472    
      4.50000           5.00000         0.0186304        0.00894567    
      5.00000           5.40000         0.0397055        0.00900235    
      5.40000           5.80000         0.0308211         0.0112762    
      5.80000           6.20000         0.0216559         0.0127201    
      6.20000           6.60000         0.0349182         0.0110593    
      6.60000           7.00000         0.0485519         0.0119224    
      7.00000           8.00000         0.0304630         0.0105423    
      8.00000           10.0000         0.0290617         0.0109809    
