# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.292657        0.00832074    
      3.50000           4.00000          0.236017        0.00935613    
      4.00000           4.50000          0.213721        0.00947543    
      4.50000           5.00000          0.216505         0.0102619    
      5.00000           5.40000          0.199374         0.0127222    
      5.40000           5.80000          0.174244         0.0136555    
      5.80000           6.20000          0.149774         0.0148370    
      6.20000           6.60000          0.114088         0.0128985    
      6.60000           7.00000          0.135605         0.0167876    
      7.00000           8.00000          0.132961         0.0125942    
      8.00000           10.0000          0.140229         0.0131407    
