# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.491447        0.00630257    
      3.50000           4.00000          0.406308        0.00648401    
      4.00000           4.50000          0.353866        0.00692670    
      4.50000           5.00000          0.319566        0.00768246    
      5.00000           5.40000          0.297939        0.00870470    
      5.40000           5.80000          0.281835        0.00994829    
      5.80000           6.20000          0.231718         0.0107736    
      6.20000           6.60000          0.245751         0.0109903    
      6.60000           7.00000          0.295052         0.0154404    
      7.00000           8.00000          0.281687         0.0102103    
      8.00000           10.0000          0.274147         0.0110340    
